src_ip protocol fwd_pkt_len_var
16777343 17 200956.8633
16777343 17 199898.8564
16777343 17 198845.5338
16777343 17 197797.1696
16777343 17 196754.0134
16777343 17 195716.2921
16777343 17 194684.2118
16777343 17 193657.9587
16777343 17 192637.7013
16777343 17 191623.5910
16777343 17 190615.7636
16777343 17 189614.3404
16777343 17 188619.4291
16777343 17 187631.1249
16777343 17 186649.5113
16777343 17 185674.6609
16777343 17 184706.6363
16777343 17 183745.4907
16777343 17 182791.2686
16777343 17 181844.0066
16777343 17 180903.7335
16777343 17 179970.4715
16777343 17 179044.2359
16777343 17 178125.0366
16777343 17 177212.8775
16777343 17 176307.7576
16777343 17 175409.6710
16777343 17 174518.6076
16777343 17 173634.5530
16777343 17 172757.4893
16777343 17 171887.3950
16777343 17 171024.2454
16777343 17 170168.0129
16777343 17 169318.6672
16777343 17 168476.1755
16777343 17 167640.5026
16777343 17 166811.6115
16777343 17 165989.4631
16777343 17 165174.0165
16777343 17 164365.2293
16777343 17 163563.0577
16777343 17 162767.4565
16777343 17 161978.3795
16777343 17 161195.7791
16777343 17 160419.6072
16777343 17 159649.8146
16777343 17 158886.3512
16777343 17 158129.1666
16777343 17 157378.2096
16777343 17 156633.4286
16777343 17 155894.7715
16777343 17 155162.1859
16777343 17 154435.6191
16777343 17 153715.0182
16777343 17 153000.3301
16777343 17 152291.5016
16777343 17 151588.4793
16777343 17 150891.2099
16777343 17 150199.6402
16777343 17 149513.7168
16777343 17 148833.3866
16777343 17 148158.5965
16777343 17 147489.2936
16777343 17 146825.4251
16777343 17 146166.9386
16777343 17 145513.7816
16777343 17 144865.9021
16777343 17 144223.2484
16777343 17 143585.7689
16777343 17 142953.4125
16777343 17 142326.1281
16777343 17 141703.8654
16777343 17 141086.5741
16777343 17 140474.2043
16777343 17 139866.7067
16777343 17 139264.0321
16777343 17 138666.1317
16777343 17 138072.9575
16777343 17 137484.4613
16777343 17 136900.5959
16777343 17 136321.3140
16777343 17 135746.5691
16777343 17 135176.3150
16777343 17 134610.5058
16777343 17 134049.0963
16777343 17 133492.0414
16777343 17 132939.2968
16777343 17 132390.8184
16777343 17 131846.5626
16777343 17 131306.4862
16777343 17 130770.5466
16777343 17 130238.7013
16777343 17 129710.9087
16777343 17 129187.1272
16777343 17 128667.3160
16777343 17 128151.4345
16777343 17 127639.4426
16777343 17 127131.3007
16777343 17 126626.9695
16777343 17 126126.4102
16777343 17 125629.5845
16777343 17 125136.4545
16777343 17 124646.9825
16777343 17 124161.1316
16777343 17 123678.8649
16777343 17 123200.1463
16777343 17 122724.9399
16777343 17 122253.2101
16777343 17 121784.9221
16777343 17 121320.0410
16777343 17 120858.5327
16777343 17 120400.3633
16777343 17 119945.4992
16777343 17 119493.9075
16777343 17 119045.5554
16777343 17 118600.4106
16777343 17 118158.4411
16777343 17 117719.6153
16777343 17 117283.9021
16777343 17 116851.2705
16777343 17 116421.6901
16777343 17 115995.1307
16777343 17 115571.5626
16777343 17 115150.9562
16777343 17 114733.2826
16777343 17 114318.5129
16777343 17 113906.6188
16777343 17 113497.5721
16777343 17 113091.3450
16777343 17 112687.9103
16777343 17 112287.2406
16777343 17 111889.3094
16777343 17 111494.0899
16777343 17 111101.5562
16777343 17 110711.6823
16777343 17 110324.4426
16777343 17 109939.8120
16777343 17 109557.7654
16777343 17 109178.2781
16777343 17 108801.3258
16777343 17 108426.8843
16777343 17 108054.9299
16777343 17 107685.4389
16777343 17 107318.3882
16777343 17 106953.7546
16777343 17 106591.5156
16777343 17 106231.6485
16777343 17 105874.1313
16777343 17 105518.9419
16777343 17 105166.0586
16777343 17 104815.4600
16777343 17 104467.1249
16777343 17 104121.0324
16777343 17 103777.1616
16777343 17 103435.4922
16777343 17 103096.0040
16777343 17 102758.6768
16777343 17 102423.4910
16777343 17 102090.4269
16777343 17 101759.4652
16777343 17 101430.5869
16777343 17 101103.7730
16777343 17 100779.0049
16777343 17 100456.2641
16777343 17 100135.5324
16777343 17 99816.7916
16777343 17 99500.0240
16777343 17 99185.2119
16777343 17 98872.3379
16777343 17 98561.3848
16777343 17 98252.3354
16777343 17 97945.1729
16777343 17 97639.8807
16777343 17 97336.4422
16777343 17 97034.8412
16777343 17 96735.0615
16777343 17 96437.0872
16777343 17 96140.9026
16777343 17 95846.4920
16777343 17 95553.8401
16777343 17 95262.9315
16777343 17 94973.7513
16777343 17 94686.2844
16777343 17 94400.5162
16777343 17 94116.4321
16777343 17 93834.0176
